,FL_DATE,DEP_HOUR,MKT_UNIQUE_CARRIER,MKT_CARRIER_FL_NUM,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,TAIL_NUM,ORIGIN,DEST,DEP_TIME,CRS_DEP_TIME,TAXI_OUT,DEP_DELAY,AIR_TIME,DISTANCE,CANCELLED,LATITUDE,LONGITUDE,ELEVATION,MESONET_STATION,YEAR OF MANUFACTURE,MANUFACTURER,ICAO TYPE,RANGE,WIDTH,WIND_DIR,WIND_SPD,WIND_GUST,VISIBILITY,TEMPERATURE,DEW_POINT,REL_HUMIDITY,ALTIMETER,LOWEST_CLOUD_LAYER,N_CLOUD_LAYER,LOW_LEVEL_CLOUD,MID_LEVEL_CLOUD,HIGH_LEVEL_CLOUD,CLOUD_COVER,ACTIVE_WEATHER
0,2022-01-01,6,AA,1,AA,1,N106NN,JFK,LAX,2022-01-01 06:57:00,2022-01-01 07:00:00,19,-3,347,2475,0,40.64,-73.77861,13,JFK,2014,Airbus,A321,Medium Range,Narrow-body,180.0,7.0,0.0,8.0,9.39,8.89,96.69,29.92,300.0,2.0,1.0,0.0,0.0,4.0,0.0
1,2022-01-01,8,AA,10,AA,10,N101NN,LAX,JFK,2022-01-01 08:57:00,2022-01-01 09:00:00,20,-3,270,2475,0,33.9425,-118.40806,125,LAX,2013,Airbus,A321,Medium Range,Narrow-body,20.0,6.0,0.0,10.0,12.22,0.61,44.92,29.87,4800.0,1.0,1.0,0.0,0.0,2.0,0.0
2,2022-01-01,0,AA,1003,AA,1003,N830NN,STL,ORD,2022-01-01 00:00:00,2022-01-01 07:05:00,0,0,0,258,2,38.74861,-90.37,618,STL,2010,Boeing,B738,Medium Range,Narrow-body,,,,,,,,,,,,,,,
3,2022-01-01,9,AA,1004,AA,1004,N805NN,ORD,FLL,2022-01-01 09:37:00,2022-01-01 18:30:00,23,907,166,1182,0,41.976944,-87.90806,672,ORD,2009,Boeing,B738,Medium Range,Narrow-body,360.0,9.0,0.0,5.0,2.22,0.61,89.09,29.75,500.0,1.0,1.0,0.0,0.0,4.0,1.0
4,2022-01-01,23,AA,1007,AA,1007,N870NN,CLT,STL,2022-01-01 23:00:00,2022-01-01 22:40:00,16,20,104,575,0,35.21361,-80.949165,748,CLT,2011,Boeing,B738,Medium Range,Narrow-body,220.0,8.0,0.0,10.0,20.0,18.28,89.81,29.79,1500.0,3.0,1.0,0.0,1.0,3.0,0.0
5,2022-01-01,16,AA,1008,AA,1008,N561UW,ATL,DFW,2022-01-01 16:24:00,2022-01-01 16:29:00,30,-5,114,731,0,33.636665,-84.42778,1026,ATL,2012,Airbus,A321,Medium Range,Narrow-body,210.0,5.0,0.0,3.0,21.72,18.89,83.93,29.94,1700.0,3.0,1.0,0.0,0.0,4.0,1.0
6,2022-01-01,12,AA,1008,AA,1008,N561UW,DFW,ATL,2022-01-01 12:25:00,2022-01-01 12:30:00,18,-5,90,731,0,32.89722,-97.03778,607,DFW,2012,Airbus,A321,Medium Range,Narrow-body,360.0,4.0,0.0,7.0,17.22,16.11,93.18,29.62,3700.0,1.0,1.0,0.0,0.0,4.0,1.0
7,2022-01-01,22,AA,1009,AA,1009,N725UW,CLT,CVG,2022-01-01 22:24:00,2022-01-01 22:31:00,11,-7,58,335,0,35.21361,-80.949165,748,CLT,1999,Airbus,A319,Medium Range,Narrow-body,220.0,11.0,0.0,10.0,20.0,17.78,87.03,29.8,1800.0,3.0,1.0,1.0,1.0,3.0,0.0
8,2022-01-01,15,AA,1012,AA,1012,N9011P,STT,PHL,2022-01-01 15:34:00,2022-01-01 15:37:00,78,-3,241,1605,0,18.337223,-64.973335,24,TIST,2013,Airbus,A319,Medium Range,Narrow-body,100.0,12.0,16.0,10.0,28.89,15.61,44.51,30.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2022-01-01,18,AA,1014,AA,1014,N914UY,PHL,MCO,2022-01-01 18:01:00,2022-01-01 18:10:00,17,-9,126,861,0,39.871944,-75.240555,36,PHL,2014,Airbus,A321,Medium Range,Narrow-body,0.0,0.0,0.0,2.0,13.28,12.22,93.32,29.76,400.0,1.0,1.0,0.0,0.0,4.0,1.0
